Date,Adj Close,Close,High,Low,Open,Volume
2026-03-09,22695.94921875,22695.94921875,22741.029296875,22061.970703125,22184.05078125,9797740000
2026-03-10,22697.099609375,22697.099609375,22906.720703125,22608.23046875,22722.939453125,8800580000
2026-03-11,22716.130859375,22716.130859375,22877.7109375,22602.330078125,22771.26953125,8348570000
2026-03-12,22311.98046875,22311.98046875,22550.75,22290.48046875,22526.58984375,8490850000
2026-03-13,22105.359375,22105.359375,22521.380859375,22069.240234375,22425.69921875,8278740000
2026-03-16,22374.1796875,22374.1796875,22521.58984375,22316.630859375,22340.390625,8208800000
2026-03-17,22479.529296875,22479.529296875,22569.640625,22409.0703125,22458.029296875,8505210000
2026-03-18,22152.419921875,22152.419921875,22461.759765625,22144.759765625,22421.9609375,9325170000
2026-03-19,22090.689453125,22090.689453125,22187.060546875,21851.05078125,21871.0390625,8547870000
2026-03-20,21647.609375,21647.609375,21997.08984375,21522.75,21989.330078125,11743490000
2026-03-23,21946.759765625,21946.759765625,22189.33984375,21865.80078125,21995.779296875,8895880000
2026-03-24,21761.890625,21761.890625,21916.16015625,21712.0390625,21807.599609375,8488380000
2026-03-25,21929.8203125,21929.8203125,22093.1796875,21865.4609375,22006.4296875,8056920000
2026-03-26,21408.080078125,21408.080078125,21823.580078125,21395.76953125,21693.1796875,7726590000
2026-03-27,20948.359375,20948.359375,21293.5,20909.9296875,21287.189453125,8713310000
2026-03-30,20794.640625,20794.640625,21139.720703125,20690.25,21096.240234375,9234380000
2026-03-31,21590.630859375,21590.630859375,21642.619140625,21063.380859375,21064.330078125,10645070000
2026-04-01,21840.94921875,21840.94921875,21983.0703125,21723.720703125,21742.7890625,8801740000
2026-04-02,21879.1796875,21879.1796875,21906.48046875,21371.3203125,21472.51953125,8134780000
2026-04-06,21996.33984375,21996.33984375,22052.41015625,21864.5,21939.80078125,7907270000
2026-04-07,22017.849609375,22017.849609375,22024.900390625,21611.0,21927.08984375,10796020000
2026-04-08,22634.990234375,22634.990234375,22821.2109375,22501.279296875,22821.2109375,10411670000
2026-04-09,22822.419921875,22822.419921875,22836.75,22529.2109375,22646.349609375,8662470000
2026-04-10,22902.890625,22902.890625,23011.76953125,22845.05078125,22913.91015625,8700640000
2026-04-13,23183.740234375,23183.740234375,23187.9609375,22795.8203125,22849.23046875,7925320000
2026-04-14,23639.080078125,23639.080078125,23639.080078125,23331.5,23331.5,9105660000
2026-04-15,24016.01953125,24016.01953125,24026.560546875,23672.259765625,23688.119140625,10206480000
2026-04-16,24102.69921875,24102.69921875,24156.1796875,23894.91015625,24062.44921875,9963610000
2026-04-17,24468.48046875,24468.48046875,24519.509765625,24286.470703125,24338.009765625,10159120000
2026-04-20,24404.390625,24404.390625,24435.919921875,24221.529296875,24417.529296875,8379940000
2026-04-21,24259.9609375,24259.9609375,24537.580078125,24198.990234375,24465.33984375,9309940000
2026-04-22,24657.5703125,24657.5703125,24660.109375,24421.400390625,24462.310546875,8080930000
2026-04-23,24438.5,24438.5,24664.869140625,24209.740234375,24553.75,7956600000
2026-04-24,24836.599609375,24836.599609375,24854.0390625,24524.369140625,24616.560546875,10203070000
2026-04-27,24887.099609375,24887.099609375,24899.369140625,24694.8203125,24799.640625,8126500000
2026-04-28,24663.80078125,24663.80078125,24724.69921875,24524.23046875,24609.5703125,7441950000
2026-04-29,24673.240234375,24673.240234375,24724.109375,24532.69921875,24606.529296875,8147470000
2026-04-30,24892.310546875,24892.310546875,24935.599609375,24491.830078125,24859.939453125,8139190000
2026-05-01,25114.439453125,25114.439453125,25223.119140625,24967.08984375,24977.7890625,7534290000
2026-05-04,25067.80078125,25067.80078125,25210.470703125,24913.119140625,25112.1796875,7849180000
2026-05-05,25326.130859375,25326.130859375,25361.05078125,25217.16015625,25258.880859375,8090030000
2026-05-06,25838.939453125,25838.939453125,25850.189453125,25464.439453125,25495.169921875,8864150000
2026-05-07,25806.19921875,25806.19921875,26036.380859375,25713.650390625,25881.30078125,9118880000
2026-05-08,26247.080078125,26247.080078125,26248.619140625,25944.779296875,25958.119140625,9577150000
2026-05-11,26274.130859375,26274.130859375,26359.310546875,26129.830078125,26135.630859375,11989910000
2026-05-12,26088.19921875,26088.19921875,26190.48046875,25739.220703125,26087.009765625,9631840000
2026-05-13,26402.33984375,26402.33984375,26474.1796875,25990.16015625,26147.650390625,9734720000
2026-05-14,26635.220703125,26635.220703125,26707.140625,26423.2109375,26425.470703125,9860060000
2026-05-15,26225.140625,26225.140625,26460.759765625,26097.5390625,26288.919921875,9584430000
2026-05-18,26090.73046875,26090.73046875,26310.83984375,25867.30078125,26289.490234375,10327940000
2026-05-19,25870.7109375,25870.7109375,26050.2890625,25701.439453125,25923.490234375,9895620000
2026-05-20,26270.359375,26270.359375,26273.759765625,25928.330078125,25991.509765625,9268370000
2026-05-21,26293.099609375,26293.099609375,26403.5703125,26039.369140625,26143.619140625,8627780000
2026-05-22,26343.970703125,26343.970703125,26504.55078125,26309.80078125,26381.560546875,9265090000
2026-05-26,26656.1796875,26656.1796875,26725.2890625,26520.30078125,26590.5,9718120000
2026-05-27,26674.73046875,26674.73046875,26715.310546875,26538.310546875,26695.439453125,9240640000
2026-05-28,26917.470703125,26917.470703125,26934.83984375,26588.51953125,26686.529296875,9224620000
2026-05-29,26972.619140625,26972.619140625,27094.80078125,26859.26953125,26960.83984375,11906000000
2026-06-01,27086.810546875,27086.810546875,27190.2109375,26913.119140625,26952.580078125,10199240000
2026-06-02,27093.900390625,27093.900390625,27171.2890625,26932.76953125,27030.0703125,9675650000
2026-06-03,26853.98046875,26853.98046875,27130.880859375,26769.150390625,27092.849609375,9267670000
2026-06-04,26830.9609375,26830.9609375,26923.69921875,26554.240234375,26579.30078125,8999970000
2026-06-05,25709.4296875,25709.4296875,26572.25,25648.470703125,26536.58984375,11550140000
2026-06-08,25929.66015625,25929.66015625,26179.650390625,25872.6796875,26065.0703125,10077650000
2026-06-09,25678.8203125,25678.8203125,26259.919921875,24980.380859375,26110.310546875,12106940000
2026-06-10,25169.5,25169.5,25726.0,25145.30078125,25512.0703125,9519620000
2026-06-11,25809.66015625,25809.66015625,25846.560546875,25109.390625,25309.779296875,10101910000
2026-06-12,25888.83984375,25888.83984375,26010.310546875,25599.939453125,25783.359375,10337400000
2026-06-15,26683.939453125,26683.939453125,26687.560546875,26438.76953125,26447.23046875,10590270000
2026-06-16,26376.33984375,26376.33984375,26788.619140625,26369.390625,26649.970703125,11132830000
2026-06-17,26021.66015625,26021.66015625,26511.55078125,25960.41015625,26493.8203125,11443600000
2026-06-18,26517.9296875,26517.9296875,26559.740234375,26188.689453125,26410.619140625,18286150000
2026-06-22,26166.599609375,26166.599609375,26561.119140625,26125.48046875,26483.310546875,12844290000
2026-06-23,25587.0390625,25587.0390625,25882.5703125,25513.259765625,25549.759765625,14631520000
2026-06-24,25476.640625,25476.640625,25840.560546875,25354.66015625,25578.619140625,14936190000
2026-06-25,25358.599609375,25358.599609375,25724.779296875,25123.4296875,25724.779296875,9870860000
2026-06-26,25297.619140625,25297.619140625,25491.380859375,25014.9609375,25105.41015625,16594580000
